1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100
29757 556 289 781 5477 0 2204 1177 6 27 49 43 83 296 542 770 842 1367 331 395 595 143 205 147 907 1403 38 736 1001 2134 2041 759 175 9286 2110 7840 2165 1315 124 435 1039 20403 2565 3266 37 5334 1784 630 1768 751 87 133 285 292 372 199 938 388 62 2800 488 322 867 2939 1585 1376 28 2614 319 1847 1093 2001 212 948 4897 1546 2805 281 650 917 4386 586 514 745 29 414 702 1075 98 603 12319 13078 1011 1126 506 387 33401 7633 450 376
114968 588 331 784 6053 0 2127 1324 5 31 69 58 68 337 590 978 1138 1508 281 400 552 128 234 153 1066 1541 20 888 1145 2111 2039 824 226 8940 1954 7288 2129 1516 119 507 1008 22785 2765 4093 32 7142 2494 748 2039 865 118 128 332 346 395 238 1078 247 99 3093 507 344 951 3448 2018 1653 18 3187 378 2271 1532 2329 225 1178 5979 2048 3297 337 663 880 5264 801 690 923 36 515 1216 1303 155 727 13636 14241 1198 1464 657 435 40230 8484 538 399
27010 749 395 1012 7578 0 1790 1365 10 21 88 41 66 423 742 1040 1248 1530 226 371 563 167 169 101 1103 1383 37 661 1069 1922 1681 955 271 8178 1518 6215 1726 1347 120 432 1178 28315 3738 5352 43 9238 3382 907 2237 985 121 195 278 357 503 317 1315 349 64 2919 472 357 1048 3342 2288 1945 24 3385 382 2423 1709 2827 227 1293 6969 2475 3450 442 699 1015 6566 998 845 1035 45 422 1612 1463 148 837 14683 16684 1394 1660 680 532 46339 7063 480 437
162186 603 256 946 5683 0 1283 908 3 21 47 32 39 241 452 639 663 1029 178 298 450 192 133 107 758 784 19 453 797 1497 1410 722 175 7376 1345 5698 1586 995 123 338 762 19206 2346 3640 24 5821 2045 604 1578 745 74 103 246 232 343 218 1024 345 87 2305 369 251 744 2266 1591 1115 16 2076 267 1592 915 1607 164 939 4958 1907 2268 388 480 633 4704 760 613 728 41 275 805 992 116 514 10431 11878 934 1107 458 374 30729 4778 305 304
114759 417 227 714 4484 0 1494 902 5 6 44 45 108 268 341 583 632 955 192 292 379 94 131 92 825 893 25 490 817 1440 1310 706 150 7425 1305 4683 1431 958 109 370 743 16980 1957 3058 21 5186 1729 587 1394 610 72 155 205 207 371 160 923 173 74 2166 396 198 699 2128 1379 890 13 1859 229 1450 835 1360 147 842 4313 1518 1915 357 362 645 4036 514 479 597 19 238 634 867 100 527 9641 9702 789 977 377 297 27927 4648 258 304
85664 445 274 844 5112 0 1669 1064 8 17 51 39 40 207 390 687 823 1057 206 291 477 99 124 111 734 1041 11 503 894 1549 1426 785 190 7191 1238 4825 1458 998 133 360 933 17279 2356 2905 31 4760 1695 560 1376 663 65 83 280 261 354 145 841 193 77 2192 375 269 693 2789 1505 988 17 2095 221 1514 832 1408 164 788 4523 1440 2108 354 354 830 3802 513 458 580 15 404 587 855 79 512 10337 10210 750 1004 441 284 26982 5076 300 290
7298 396 261 907 4457 0 1686 1083 8 9 62 45 49 215 379 713 663 1255 219 317 491 96 153 116 877 1144 21 598 914 1420 1044 763 148 7020 1160 4372 1212 1139 121 444 774 17185 1984 3137 26 4961 1524 606 1199 731 67 109 269 257 308 170 732 180 82 2276 548 272 766 2790 1653 918 20 2243 256 1475 946 1364 130 789 4325 1388 2051 400 457 828 3562 474 402 572 23 291 572 903 84 589 10428 10840 746 1080 450 311 27521 5177 304 297
8393 460 258 711 4962 0 2088 1298 3 16 46 50 57 260 495 758 868 1368 333 375 666 122 134 146 939 1407 53 729 1104 1977 1448 864 180 7844 1493 5065 1514 1314 113 449 795 19126 2337 3431 25 5536 1861 609 1441 705 78 103 390 255 365 139 904 320 89 2756 421 347 854 2984 1699 1187 23 2402 313 1704 1071 1859 185 857 5085 1442 2627 331 422 704 3899 593 453 754 22 397 822 1051 97 632 11730 12317 1055 1119 476 352 33444 6167 376 393
87516 558 303 773 6095 0 2296 1441 3 25 52 67 64 316 590 1009 1032 1550 295 427 614 126 187 154 1021 1558 18 812 1175 1881 1234 914 217 7948 1399 5209 1312 1546 135 496 985 22150 3039 4340 36 7062 2520 714 1939 884 77 104 334 287 458 215 1089 256 85 3231 505 350 978 3566 2125 1475 20 3222 416 2147 1587 2777 229 1134 6669 2028 3243 510 684 1332 4885 736 711 891 45 494 1081 1255 138 794 13668 15068 1298 1573 734 423 41172 7029 339 454
9398 756 351 776 7459 0 2162 1668 4 24 73 35 76 348 643 1138 1124 1580 236 510 605 141 189 126 1031 1344 18 650 1171 1598 1335 1105 154 7369 1388 5026 1395 1645 157 477 1041 26250 4148 5503 54 8852 3874 1024 2422 899 120 108 325 341 565 296 1272 439 86 2955 435 361 945 3645 2598 2140 24 3115 359 2133 1571 2622 203 1470 7656 2609 3394 447 804 1285 7510 805 699 922 58 446 1382 1222 180 769 15724 16724 1623 1828 894 527 44578 8536 370 404
